# source_id	kind	status	crystal_refs	notes
src/commands/config/codex.rs::func::handle_codex_install	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/codex.rs::func::handle_codex_uninstall	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/create.rs::func::handle_config_create	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/hints.rs::func::handle_hints_clear	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/hints.rs::func::handle_hints_get	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_comment_out_config	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_comment_out_config_preserves_trailing_newline	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_render_ci_tool_status	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_require_user_config_path_matches_config_path	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_require_user_config_path_returns_ok	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_deprecated_in_right_config_is_skipped	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_deprecated_section_in_wrong_config	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_empty	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_nested	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_suggests_other_config	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/mod.rs::test::test_warn_unknown_keys_user_only_commit_key_redirects_to_user_config	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/opencode.rs::func::handle_opencode_install	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/opencode.rs::func::handle_opencode_uninstall	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/opencode.rs::func::is_plugin_installed	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/opencode.rs::func::plugin_file_exists	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/opencode.rs::func::plugin_path	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/plugins.rs::func::handle_claude_install	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/plugins.rs::func::handle_claude_install_statusline	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/plugins.rs::func::handle_claude_uninstall	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/show.rs::func::handle_config_show	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/show.rs::test::test_get_git_version_returns_version	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/show.rs::test::test_is_newer_version	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_logs_list	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_state_clear	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_state_clear_all	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_state_get	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_state_set	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_state_show	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_vars_clear	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_vars_get	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_vars_list	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::handle_vars_set	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/state.rs::func::require_user_config_path	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/config/update.rs::func::handle_config_update	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::enum::ConfigAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::enum::UninstallAction	enum	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::description	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::handle_configure_shell	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::handle_show_theme	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::handle_unconfigure_shell	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::process_shell_completions	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::prompt_for_install	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::scan_shell_configs	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::show_install_preview	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::show_uninstall_preview	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::func::symbol	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::method::ConfigAction.description	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::method::UninstallAction.description	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::struct::CompletionResult	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::struct::CompletionUninstallResult	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::struct::ConfigureResult	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::struct::ScanResult	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::struct::UninstallResult	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::struct::UninstallScanResult	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_config_action_description	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_config_action_emoji	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_fish_code_lines_matches_despite_different_comments	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_fish_code_lines_strips_comments_and_blanks	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_fish_completion_content	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_fish_completion_content_custom_cmd	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_is_shell_integration_line	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_uninstall_action_description	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/configure_shell.rs::test::test_uninstall_action_emoji	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::func::context	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::func::for_action	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::func::for_action_branchless	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::func::for_branch	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::func::project_id	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::func::require_branch	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::func::resolved	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::method::CommandEnv.for_action	method	partial	src/work_trees/cli.cr	auto-generated
src/commands/context.rs::struct::CommandEnv	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/custom.rs::test::handle_custom_command_rejects_non_utf8_name	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/custom.rs::test::run_custom_propagates_signal_exit_code	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/custom.rs::test::similar_subcommands_dedupes_alias_matching_builtin	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/custom.rs::test::similar_subcommands_finds_typo	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/custom.rs::test::similar_subcommands_ignores_unrelated	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/custom.rs::test::similar_subcommands_includes_aliases	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/custom.rs::test::similar_subcommands_skips_hidden	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/eval.rs::func::step_eval	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/for_each.rs::func::step_for_each	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_announcement.rs::struct::SourcedStep	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_announcement.rs::test::test_format_pipeline_summary_concurrent_then_concurrent	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_announcement.rs::test::test_format_pipeline_summary_mixed_named_unnamed	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_announcement.rs::test::test_format_pipeline_summary_named	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_announcement.rs::test::test_format_pipeline_summary_single_unnamed	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_announcement.rs::test::test_format_pipeline_summary_unnamed	test	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_commands.rs::func::handle_hook_show	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_commands.rs::func::run_hook	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_commands.rs::struct::HookCliArgs	struct	partial	src/work_trees/cli.cr	auto-generated
src/commands/hook_filter.rs::enum::HookSource	enum	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hook_filter.rs::func::parse	func	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hook_filter.rs::method::ParsedFilter.parse	method	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hook_filter.rs::struct::ParsedFilter	struct	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::func::flush	func	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::func::new	func	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::func::register	func	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::func::register_with_project_config	func	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::method::HookAnnouncer.new	method	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::struct::HookAnnouncer	struct	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::struct::HookCommandSpec	struct	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::test::test_failure_strategy_copy	test	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::test::test_hook_source_display	test	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::test::test_is_pipeline	test	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/hooks.rs::test::test_parsed_filter	test	partial	src/work_trees/config/hook.cr	auto-generated
src/commands/init.rs::func::handle_completions	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/init.rs::func::handle_init	func	partial	src/work_trees/cli.cr	auto-generated
src/commands/list/ci_status/azure.rs::test::test_azure_context_falls_back_to_all_remote_urls	test	missing	-	auto-generated
src/commands/list/ci_status/azure.rs::test::test_azure_context_returns_none_without_azure_remote	test	missing	-	auto-generated
src/commands/list/ci_status/azure.rs::test::test_parse_azure_pipeline_status	test	missing	-	auto-generated
src/commands/list/ci_status/cache.rs::test::test_ttl_jitter_range_and_determinism	test	missing	-	auto-generated
src/commands/list/ci_status/gitea.rs::test::test_branch_owner_repo_local_uses_primary_remote	test	missing	-	auto-generated
src/commands/list/ci_status/gitea.rs::test::test_branch_owner_repo_remote_uses_branch_remote	test	missing	-	auto-generated
